title	abstract	authors	year	url	identifiers	publisher	keywords	oai	doi	journal_title	journal_identifiers	relevance
A SEMANTIC APPROACH TO HARMONIZING SECURITY MODELS FOR OPEN SERVICES	5 &amp; There is a plethora of different security standards proposed by a range of standards consortia, including the IETF, W3C, and OASIS. There are also sometimes multiple configuration settings for a given security specification. In a heterogeneous open service environment, the variety of security standards and possible settings used can hinder security interoperability, because a common secur-ity configuration may not be able to be agreed upon in advance. In this paper, we have developed a 10generic security model expressed in an XML extension (DAML) and have investigated how to ground this in order to reuse the security specifications from various standards consortia. We have applied this model to support security discovery and dynamic security reconfiguration for use within open service infrastructures	Juan Jim Tan and Stefan Poslad and Leonid Titkov and Q Au Ok and Q Au (year and Q Au City and Juan Jim Tan and Stefan Poslad and Leonid Titkov and Department Of	2015	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.535.6773	oai:oai:CiteSeerX.psu:10.1.1.535.6773 oai:CiteSeerX.psu:10.1.1.535.6773							75%
Requirement engineering meets security: A case study on modelling secure electronic transactions by VISA and mastercard	Abstract. Computer Security is one of today’s hot topic and the need for conceptual models of security features have brought up a number of proposals ranging from UML extensions to novel conceptual models. What is still missing, however, are models that focus on high-level security requirements, without forcing the modeler to immediately get down to security mechanisms. The modeling process itself should make it clear why encryption, authentication or access control are necessary, and what are the tradeoffs, if they are selected. In this paper we show that the i*/Tropos framework lacks the ability to capture these essential features and needs to be augmented. To motivate our proposal, we build upon a substantial case study – the modeling of the Secure Electronic Transactions e-commerce suites by VISA and MasterCard – to identify missing modeling features. In a nutshell, the key missing concept is the separation of the notion of offering a service (of a handling data, performing a task or fulfilling a goal) and ownership of the very same service. This separation is what makes security essential. The ability of the methodology to model a clear dependency relation between those offering a service (the merchant processing a credit card number), those requesting the service (the bank debiting the payment), and those owning the very same data (the cardholder), make security solutions emerge as a natural consequence of the modeling process. 	Paolo Giorgini and Fabio Massacci and John Mylopoulos	2003	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.203.4550	oai:oai:CiteSeerX.psu:10.1.1.203.4550 oai:CiteSeerX.psu:10.1.1.203.4550	Springer						75%
A New Advanced User Authentication and Confidentiality Security Service	Network & internet security is the burning question of today's world and theyare deeply related to each other for secure successful data transmission.Network security approach is totally based on the concept of network securityservices. In this paper, a new system of network security service isimplemented which is more secure than conventional network security services.This technique is mainly deals with two essential network security services,one is user authentication and other is data confidentiality. For userauthentication this paper introduces Graphical Username & Voice Passwordapproaches which provides better security than conventional username & passwordauthentication process. In data confidentiality section this paper introducestwo layer private key for both message encryption & decryption which is mainlyapplicable on 8 bit plain text data. This paper also provides the hints ofintroducing other two network security services (integrity and non-repudiation)as a future work	Majumder, Sanjay and Chakraborty, Sanjay and Das, Suman	2014	http://arxiv.org/abs/1406.4748	10.5120/16257-5904 doi:10.5120/16257-5904 oai:oai:arXiv.org:1406.4748 oai:arXiv.org:1406.4748		Computer Science - Cryptography and Security		10.5120/16257-5904			75%
Vulnerability Research and Mapping of Campus Network	Vulnerability of computer systems in campus- wide network has been an issue for years, since networks were open to allow anonymous access. It will take many studies of computer security to protect. A vulnerability research and mapping of a network is a step to address the issue, as well as minimizing security breach in the future. Evaluation of a network security can be done by many tools available and also guidelines based on CEH (Certified Ethical Hacker) module and Acunetix for web specific security. These test tools were deployed several times on every target, scanning open ports and sending test scripts to find vulnerabilities.\udWith CEH and Acunetix guidelines, the evaluation shows many common security weaknesses such as Cross-Site Scripting, SQL injection and DDoS vulnerabilities and therefor this evaluation leads to security recommendations based on the weaknesses and security holes found	Andjarwirawan, Justinus and Noertjahyana, Agustinus and Angi, Devi C.	2016	https://core.ac.uk/download/pdf/32452991.pdf	oai:oai:generic.eprints.org:17152/core409 oai:generic.eprints.org:17152/core409		QA75 Electronic computers. Computer science					75%
Automatic code generation for security requirements in AUTOSAR based on the Crypto Service Manager	The increasing complexity and autonomy of modern vehicles make security a key issue of the design and development in the automotive industry. A careful analysis of the security requirements and adequate mechanisms for ensuring integrity and confidentiality of data are required to guarantee safety. In the automotive domain, AUTOSAR (AUTomotive Open System ARchitecture) is the standard de facto. It provides a component-based system design at different levels of abstraction.In this thesis a library has been developed to implement the Crypto Service Manager (CSM) of AUTOSAR. It offers a standardized access to cryptographic services for applications. The library is implemented in C language and supports the modules for MAC generation/verification and encryption/decryption, according to the standard. In particular, modelling extensions in AUTOSAR are proposed to address confidentiality and integrity security constraints at the design stage. Software components are automatically extended according to security annotations with security elements (ports and interfaces), used to call the CSM functions	VARANO, DARIO	2016	https://core.ac.uk/download/pdf/79622684.pdf	oai:oai:etd.adm.unipi.it:etd-08012016-111739 oai:etd.adm.unipi.it:etd-08012016-111739	Pisa University	INGEGNERIA DELL'INFORMAZIONE					74%
1 Vulnerabilities and Patches of Open Source Software: An Empirical Study	Software selection is an important consideration in managing the information security function. Open source software is touted by proponents as being robust to many of the security problems that seem to plague proprietary software. This study empirically investigates specific security characteristics of open source and proprietary operating system software. Software vulnerability data spanning several years are collected and analyzed to determine if significant differences exist in terms of inter-arrival times of published vulnerabilities, median time to release patches, type of vulnerability reported and respective severity of the vulnerabilities. The results demonstrate that open source and proprietary operating system software are each likely to report similar vulnerabilities and that open source providers are only marginally quicker in releasing patches for problems identified in their software. The arguments favoring the inherent security of open source software do not appear to hold up to such analysis. These findings provide guidance to security managers to focus on holistic software security management, irrespective of the proprietary-nature of the underlying software	Kemal Altinkemer and Jackie Rees and Sanjay Sridhar	2015	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.535.6273	oai:oai:CiteSeerX.psu:10.1.1.535.6273 oai:CiteSeerX.psu:10.1.1.535.6273		open source software, information security 3					74%
Analysis of Field Data on Web Security Vulnerabilities	Most web applications have critical bugs (faults) affecting their security, which makes them vulnerable to attacks by hackers and organized crime. To prevent these security problems from occurring it is of utmost importance to understand the typical software faults. This paper contributes to this body of knowledge by presenting a field study on two of the most widely spread and critical web application vulnerabilities: SQL Injection and XSS. It analyzes the source code of security patches of widely used web applications written in weak and strong typed languages. Results show that only a small subset of software fault types, affecting a restricted collection of statements, is related to security. To understand how these vulnerabilities are really exploited by hackers, this paper also presents an analysis of the source code of the scripts used to attack them. The outcomes of this study can be used to train software developers and code inspectors in the detection of such faults and are also the foundation for the research of realistic vulnerability and attack injectors that can be used to assess security mechanisms, such as intrusion detection systems, vulnerability scanners, and static code analyzers.PEst-OE/EGE/UI4056/201	Fonseca, José Martins and Seixas, Nuno and Vieira, Marco and Madeira, Henrique	2016	http://hdl.handle.net/10314/2436	oai:bdigital.ipg.pt:10314/2436 oai:oai:bdigital.ipg.pt:10314/2436		Security, Internet applications, languages, review and evaluation				issn:1545-5971, 1545-5971	74%
Anonieme certificaten in de praktijk: Het realiseren van anonieme applicaties en diensten	Security and privacy are requirements that keep gaining importance in today's information-driven world. Every system or application connected to the Internet has to be sufficiently secured.  However, information leaks and security breaches are commonplace, even though many can be prevented by the proper use of proven security and privacy technologies. This PhD focuses on facilitating the development of secure and privacy-preserving applications. To do so, we propose an application development technique together with a framework implementation that separates the concerns between the application developer, the security expert, the service provider and the user. Priman is a security and privacy-enhancing application development framework that enables developers to integrate security and privacy enhancing technologies in their applications. The technologies offered by the framework mainly focus on access control, data storage protection and transport layer protection. In order to facilitate developers in creating secure applications, Priman separates the concerns of developers with security experts, service providers and users as well as offering a uniform, high-level API. Priman recognizes that developers are not necessarily security experts, and hence, it allows developers to build their applications without needing to know a.) which security technology is used in the application and b.) how to configure these security technologies.The abstractions made by Priman shift the technology-specific configuration details from the application code to configuration policies. In essence, this means that application code written with the Priman framework is independent from the technology used underneath. Developers can use the abstract, high- level building blocks offered by Priman to build complex protocols and applications, while these building blocks are configured in configuration policies by a security expert. Furthermore, service providers and users can change application behavior by specifying authentication and privacy preferences. Furthermore, this PhD applies the Priman development strategy and framework to three existing applications or services that have strict security requirements. In addition, we analyze the application's privacy properties by performing a Privacy by Design analysis.Finally, we show our conclusions and lessons learned from applying Priman in practical scenarios and hands-on sessions with industry partners.nrpages: 162status: publishe	Put, Andreas	2017	https://lirias.kuleuven.be/handle/123456789/574489	oai:lirias.kuleuven.be:123456789/574489 oai:oai:lirias.kuleuven.be:123456789/574489		Software-engineering, Privacy-Enhancing-Technologies, Security					74%
Privacy-aware PKI Model with Strong Forward Security	With the development of network technology, privacy protection and users anonymity become a new research hotspot. The existing blockchain privacy‐aware public key infrastructure (PKI) model can ensure the privacy of users in the authentication process to a certain extent, but there are still problems of the storage and leakage of users' keys. This paper first proposes a strong forward‐secure ring signature scheme based on RSA, which ensures the anonymity of the signing users and the forward‐backward security of the keys. Then, by introducing the ring signature technology into the privacy‐aware PKI model, this paper proposes a privacy‐aware PKI model with strong forward security based on block chains, which not only ensures the users' identity privacy, but also solves the problem of the storage and leakage of the users' keys, greatly improving the success rate and security of the users' identity authentication. Finally, this paper applies the proposed PKI model to anonymous transactions, designs a privacy‐aware anonymous transaction model with strong forward security, realizing anonymous transactions without relying on trusted third parties, and implementing users' privacy protection	F Li (4700410) and Z Liu (6098168) and T Li (8134317) and H Ju (9232985) and H Wang (7713587) and Huiyu Zhou (535329)	2020	http://hdl.handle.net/2381/12794276.v1	oai:figshare.com:article/12794276 oai:oai:figshare.com:article/12794276		Uncategorized, anonymous transactions, blockchain, PKI, ring signature, RSA					74%
Specifying dynamic security properties of web service based systems	The security characteristics of web service based systems depend on those of the individual web services (WS) involved and the way in which they are related to each other. In principle, the security characteristics of WS or systems can be expressed in security properties that are published and available to external parties. Only by knowing the security properties of the individual WS another WS can invoke it (if it satisfies certain security requirements and capabilities) and the overall system’s security properties can be analysed and deduced. In our earlier work, we have developed the security characterisation language, SCL, to specify the static security properties of software components and systems. In this paper, we use SCL for describing security properties of WS and further enhance this language with the capability of specifying the dynamic security characteristics. The extended version of SCL (E-SCL) incorporates such features as time, time intervals, time sequence, probability, runtime conditions, and alternative security properties. Furthermore, we have developed the WS security ontology and applied it together with E-SCL to publish the dynamic security properties of WS using OWL-S and analyse them dynamically. Our approach is illustrated with an example email system	Vorobiev, Artem and Han, Jun	2006	http://doi.ieeecomputersociety.org/10.1109/SKG.2006.99	oai:vtl.cc.swin.edu.au:swin:7022 10.1109/SKG.2006.99 oai:oai:vtl.cc.swin.edu.au:swin:7022 doi:10.1109/SKG.2006.99	IEEE Computer Society	280000 Information, Computing and Communication Sciences		10.1109/SKG.2006.99			74%
Security in Context-aware Mobile Business Applications	The support of location computation on mobile devices (e.g. mobile phones, PDAs) has enabled the development of context-aware and especially location-aware applications (e.g. Restaurant Finder, Friend Finder) which are becoming the new trend for future software applications. However, fears regarding security and privacy are the biggest barriers against their success. Especially, mobile users are afraid of the possible threats against their private identity and personal data. Within the M-Business research group at the University of Mannheim, various security and privacy aspects of context-aware mobile business applications are examined in this thesis. After providing a detailed introduction to context-aware applications, the security challenges of context-aware applications from the perspectives of different principals (i.e. mobile users, the broker, service providers) are analyzed. The privacy aspects, the challenges, the threats and legal directives regarding user privacy are explained and illustrated by real-life examples. The user-centric security architectures integrated within context-aware applications are introduced as anonymity and mobile identity management solutions. The M-Business security architecture providing security components for communication security, dynamic policy-based anonymity, secure storage on mobile devices, identity management for mobile users and cryptography libraries is explained in detail. The LaCoDa compiler which automatically generates final Java code from high level specifications of security protocols is introduced as a software-centric solution for preventing developer-specific security bugs in applications	Tatli, Emin Islam	2008	http://ub-madoc.bib.uni-mannheim.de/2270/1/dissertation_tatli.pdf	oai:oai:ub-madoc.bib.uni-mannheim.de:2270 oai:ub-madoc.bib.uni-mannheim.de:2270	Universität Mannheim	004 Informatik					74%
Towards Security-aware Virtual Network EmbeddingI	Network virtualization is one of the fundamental building blocks of cloud computing, where computation, storage and networking resources are shared through virtualization technologies. However, the complexity of virtualization exposes additional security vulnerabilities, which can be taken advantage of by malicious users. While traditional network security technologies can help in virtualized environments, we argue that it is cost-effective to isolate virtual resources with high security demands from the untrusted ones. This paper attempts to tackle the security issue by offering physical isolation during virtual network embedding, the process of allocating virtual networks on-to physical nodes and links. We start from modelling the security demands in virtualized environments by analysing typical security vulnerabilities. A sim-ple abstracted concept of security demands is defined to capture the variations of security requirements, based on which we formulate security-aware virtual network embedding as an optimization problem. The proposed objective and constraint functions involve both resource and security restrictions. Then, two heuristic algorithms are developed to solve this problem with splittable or un-splittable virtual links, respectively. Our simulation results demonstrate their ISome preliminary results were presented at IEEE ICC 2014	Shuhao Liua and Zhiping Caia and Hong Xub and Ming Xua	2016	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.709.5094	oai:CiteSeerX.psu:10.1.1.709.5094 oai:oai:CiteSeerX.psu:10.1.1.709.5094							74%
Information Flow Analysis Based Security Checking of Health Service Composition Plans 1	Abstract: In this paper, we present anapproach to solve the problem of provably secure execution of semantic web service composition plans. The integrated components of this approach include our OWL-S service matchmaker, OWLS-MX, the service composition planner, OWLS-XPlan, and the security checker module for formally verifying the compliance of the created composition plan to be executed with given data and service security policies using type-based information flow analysis. We demonstrate this approach by means of its application to ause casescenario ofhealth servicecomposition planning. 1Introduction The composition of complex services available in the Web, and the semantic Web, at design time isawell-understood principle which is nowadays supported by, for example, service composition planners such as SHOP2, or OWLS-XPlan. However, ensuring the secure execution of composed services still remains tobeachallenge. Related tasks range from secure communication via protection of services against misuse to the preservation ofuser data privacy. Standard approaches for secure execution ofservice	Dieter Hutter and Matthias Klusch and Melanie Volkamer	2014	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.406.9670	oai:oai:CiteSeerX.psu:10.1.1.406.9670 oai:CiteSeerX.psu:10.1.1.406.9670		the German ministryofeducation and research(BMB+F, www.dfki.de/scal					74%
Z (2006) A framework for specifying and managing security requirements in collaborative systems	Abstract. Although security has been recognized as an increasingly important and critical issue for software system development, most security requirements are poorly specified: ambiguous, misleading, inconsistent among various parts, and lack-ing sufficient details. In this paper, a framework for specifying unambiguous, inter-operable security requirements and detecting conflict and undesirable emergent properties in collaborative systems is presented. The framework includes a core on-tology representing hierarchical security requirements, an ontology-based security requirement specification process, a set of security requirement refining rules, an al-gorithm for automatic security requirement refinement and an analysis algorithm to detect inconsistent security requirements. In this paper, the specification and refine-ment of security requirements are emphasized	Stephen S. Yau and Zhaoji Chen	2015	http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.549.2621	oai:oai:CiteSeerX.psu:10.1.1.549.2621 oai:CiteSeerX.psu:10.1.1.549.2621	Springer	security specification					74%
Security Analysis and Improvement Model for Web-based Applications	Today the web has become a major conduit for information. As the World WideWeb?s popularity continues to increase, information security on the web has become anincreasing concern. Web information security is related to availability, confidentiality,and data integrity. According to the reports from http://www.securityfocus.com in May2006, operating systems account for 9% vulnerability, web-based software systemsaccount for 61% vulnerability, and other applications account for 30% vulnerability.In this dissertation, I present a security analysis model using the Markov ProcessModel. Risk analysis is conducted using fuzzy logic method and information entropytheory. In a web-based application system, security risk is most related to the currentstates in software systems and hardware systems, and independent of web applicationsystem states in the past. Therefore, the web-based applications can be approximatelymodeled by the Markov Process Model. The web-based applications can be conceptuallyexpressed in the discrete states of (web_client_good; web_server_good,web_server_vulnerable, web_server_attacked, web_server_security_failed; database_server_good, database_server_vulnerable, database_server_attacked,database_server_security_failed) as state space in the Markov Chain. The vulnerablebehavior and system response in the web-based applications are analyzed in thisdissertation. The analyses focus on functional availability-related aspects: the probabilityof reaching a particular security failed state and the mean time to the security failure of asystem. Vulnerability risk index is classified in three levels as an indicator of the level ofsecurity (low level, high level, and failed level). An illustrative application example isprovided. As the second objective of this dissertation, I propose a security improvementmodel for the web-based applications using the GeoIP services in the formal methods. Inthe security improvement model, web access is authenticated in role-based access controlusing user logins, remote IP addresses, and physical locations as subject credentials tocombine with the requested objects and privilege modes. Access control algorithms aredeveloped for subjects, objects, and access privileges. A secure implementationarchitecture is presented. In summary, the dissertation has developed security analysisand improvement model for the web-based application. Future work will address MarkovProcess Model validation when security data collection becomes easy. Securityimprovement model will be evaluated in performance aspect	Wang, Yong	2010	http://hdl.handle.net/1969.1/ETD-TAMU-2008-12-110	oai:oai:oaktrust.library.tamu.edu:1969.1/ETD-TAMU-2008-12-110 oai:oaktrust.library.tamu.edu:1969.1/ETD-TAMU-2008-12-110		security analysis, risk assessment,web-based applications, Markov Process Model					74%
Security assessment of open source third-parties applications	Free and Open Source Software (FOSS) components are ubiquitous in both proprietary and open source applications. In this dissertation we discuss challenges that large software vendors face when they must integrate and maintain FOSS components into their software supply chain. Each time a vulnerability is disclosed in a FOSS component, a software vendor must decide whether to update the component, patch the application itself, or just do nothing as the vulnerability is not applicable to the deployed version that may be old enough to be not vulnerable. This is particularly challenging for enterprise software vendors that consume thousands of FOSS components, and offer more than a decade of support and security fixes for applications that include these components. \udFirst, we design a framework for performing security vulnerability experimentations. In particular, for testing known exploits for publicly disclosed vulnerabilities against different versions and software configurations.\udSecond, we provide an automatic screening test for quickly identifying the versions of FOSS components likely affected by newly disclosed vulnerabilities: a novel method that scans across the entire repository of a FOSS component in a matter of minutes. We show that our screening test scales to large open source projects.\udFinally, for facilitating the global security maintenance of a large portfolio of FOSS components, we discuss various characteristics of FOSS components and their potential impact on the security maintenance effort, and empirically identify the key drivers.\u	Dashevskyi, Stanislav	2017	http://eprints-phd.biblio.unitn.it/2543/	oai:eprints-phd.biblio.unitn.it:2543 oai:oai:eprints-phd.biblio.unitn.it:2543	University of Trento	INF/01 INFORMATICA					74%
